Company,"Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent",Location,Rating,"Bean
Type","Broad Bean
Origin"
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend, 
Bonnat,Kaori,1339,2014,75%,France,4, ,Brazil
Amedei,Porcelana,111,2007,70%,Italy,4,Criollo (Porcelana),Venezuela
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,70%,France,4,Trinitario,Tobago
Benoit Nihant,Rio Peripa H.,1141,2013,73%,Belgium,4,Trinitario,Ecuador
Benoit Nihant,"Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,72%,Belgium,4,Trinitario,Indonesia
Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)",676,2011,70%,Canada,4,,"Ven, Bolivia, D.R."
Soma,Peruvian,676,2011,64%,Canada,4, ,Peru
Rogue,"Silvestre, Batch 7, 2013",1081,2013,75%,U.S.A.,4, ,Bolivia
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4,Amazon mix,Costa Rica
Patric,Madagascar,331,2009,75%,U.S.A.,4,Trinitario,Madagascar
Woodblock,Ocumare,741,2011,70%,U.S.A.,4, ,Venezuela
Pacari,Piura,863,2012,70%,Ecuador,4, ,Peru
Ritual,Sambirano,891,2012,75%,U.S.A.,4,Trinitario,Madagascar
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4, ,Ecuador
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4,Trinitario,Venezuela
Georgia Ramon,ABOCFA Coop,1642,2015,70%,Germany,4,Forastero,Ghana
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70%,Australia,4,Criollo,Ecuador
Soma,"Dancing in Your Head, 5 bean blend",867,2012,70%,Canada,4,Blend,"Gre., PNG, Haw., Haiti, Mad"
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,70%,Canada,4,Blend,"Dom. Rep., Madagascar"
